,codmunres,year,cs_sexo,faixa,count
559,130260.0,2016.0,2,5054,74
560,130260.0,2016.0,2,509,75
561,130260.0,2016.0,2,5559,56
562,130260.0,2016.0,2,6064,41
563,130260.0,2016.0,2,6569,18
564,130260.0,2016.0,2,7074,6
565,130260.0,2016.0,2,7579,2
566,130260.0,2016.0,2,8099,6
567,130260.0,2017.0,1,1014,14
568,130260.0,2017.0,1,1519,15
569,130260.0,2017.0,1,2024,34
570,130260.0,2017.0,1,2529,29
571,130260.0,2017.0,1,3034,29
572,130260.0,2017.0,1,3539,18
573,130260.0,2017.0,1,4,23
574,130260.0,2017.0,1,4044,14
575,130260.0,2017.0,1,4549,14
576,130260.0,2017.0,1,5054,11
577,130260.0,2017.0,1,509,14
578,130260.0,2017.0,1,5559,4
579,130260.0,2017.0,1,6064,7
580,130260.0,2017.0,1,6569,1
581,130260.0,2017.0,1,7579,2
582,130260.0,2017.0,2,1014,18
583,130260.0,2017.0,2,1519,11
584,130260.0,2017.0,2,2024,9
585,130260.0,2017.0,2,2529,8
586,130260.0,2017.0,2,3034,11
587,130260.0,2017.0,2,3539,8
588,130260.0,2017.0,2,4,16
589,130260.0,2017.0,2,4044,7
590,130260.0,2017.0,2,4549,5
591,130260.0,2017.0,2,5054,5
592,130260.0,2017.0,2,509,21
593,130260.0,2017.0,2,5559,4
594,130260.0,2017.0,2,6064,1
595,130260.0,2017.0,2,7074,1
596,130260.0,2017.0,2,7579,1
597,130260.0,2018.0,1,1014,7
598,130260.0,2018.0,1,1519,9
599,130260.0,2018.0,1,2024,27
600,130260.0,2018.0,1,2529,34
601,130260.0,2018.0,1,3034,29
602,130260.0,2018.0,1,3539,29
603,130260.0,2018.0,1,4,7
604,130260.0,2018.0,1,4044,24
605,130260.0,2018.0,1,4549,21
606,130260.0,2018.0,1,5054,19
607,130260.0,2018.0,1,509,11
608,130260.0,2018.0,1,5559,10
609,130260.0,2018.0,1,6064,4
610,130260.0,2018.0,1,6569,4
611,130260.0,2018.0,1,7074,1
612,130260.0,2018.0,2,1014,5
613,130260.0,2018.0,2,1519,8
614,130260.0,2018.0,2,2024,14
615,130260.0,2018.0,2,2529,9
616,130260.0,2018.0,2,3034,11
617,130260.0,2018.0,2,3539,13
618,130260.0,2018.0,2,4,5
619,130260.0,2018.0,2,4044,11
620,130260.0,2018.0,2,4549,8
621,130260.0,2018.0,2,5054,2
622,130260.0,2018.0,2,509,2
623,130260.0,2018.0,2,5559,3
624,130260.0,2018.0,2,6569,1
625,130260.0,2019.0,1,1519,3
626,130260.0,2019.0,1,2024,9
627,130260.0,2019.0,1,2529,1
628,130260.0,2019.0,1,3034,3
629,130260.0,2019.0,1,3539,5
630,130260.0,2019.0,1,4,3
631,130260.0,2019.0,1,4044,1
632,130260.0,2019.0,1,4549,2
633,130260.0,2019.0,1,5054,1
634,130260.0,2019.0,1,509,1
635,130260.0,2019.0,1,5559,1
636,130260.0,2019.0,1,6064,2
637,130260.0,2019.0,2,1014,1
638,130260.0,2019.0,2,1519,1
639,130260.0,2019.0,2,2024,3
640,130260.0,2019.0,2,2529,4
641,130260.0,2019.0,2,3034,2
642,130260.0,2019.0,2,3539,2
643,130260.0,2019.0,2,4,1
644,130260.0,2019.0,2,4044,2
645,130260.0,2019.0,2,4549,1
646,130260.0,2019.0,2,509,1
647,130260.0,2019.0,2,5559,2
648,130260.0,2019.0,2,8099,1
649,130290.0,2017.0,2,1014,1
650,130320.0,2016.0,1,1014,1
651,130320.0,2016.0,1,3034,1
652,130320.0,2016.0,1,4044,1
653,130320.0,2016.0,1,4549,1
654,130320.0,2016.0,2,1014,2
655,130320.0,2017.0,1,1519,2
